Region,Risk,Outcome,Deaths1000,PAF
Low SDI,Smoking,Motorcyclist road injuries,0,0.002
Low SDI,Smoking,Motor vehicle road injuries,0.2,0.003
Low SDI,Smoking,Other road injuries,0,0.003
Low SDI,Smoking,Other transport injuries,0,0.004
Low SDI,Smoking,Falls,0.6,0.012
Low SDI,Smoking,Other exposure to mechanical forces,0,0.002
Low SDI,Smoking,Non-venomous animal contact,0,0.002
Low SDI,Smoking,Assault by other means,0,0.001
Low SDI,Smoking,"Forces of nature, conflict and terrorism, and state actor violence",0,0.001
Low SDI,Alcohol,All causes,200.7,0.033
Low SDI,Alcohol,Drug-susceptible tuberculosis,79.8,0.253
Low SDI,Alcohol,Multidrug-resistant tuberculosis without extensive drug resistance,3.8,0.204
Low SDI,Alcohol,Extensively drug-resistant tuberculosis,0.1,0.15
Low SDI,Alcohol,Lower respiratory infections,11.9,0.024
Low SDI,Alcohol,Lip and oral cavity cancer,2.1,0.302
Low SDI,Alcohol,Nasopharynx cancer,1,0.329
Low SDI,Alcohol,Other pharynx cancer,1.3,0.335
Low SDI,Alcohol,Oesophageal cancer,4.4,0.215
Low SDI,Alcohol,Colon and rectum cancer,2.2,0.079
Low SDI,Alcohol,Liver cancer due to alcohol use,5.3,1
Low SDI,Alcohol,Larynx cancer,0.9,0.174
Low SDI,Alcohol,Breast cancer,2.8,0.086
Low SDI,Alcohol,Ischaemic heart disease,-6.6,-0.014
Low SDI,Alcohol,Ischaemic stroke,1.4,0.011
Low SDI,Alcohol,Hemorrhagic stroke,19.4,0.102
Low SDI,Alcohol,Hypertensive heart disease,6.6,0.111
Low SDI,Alcohol,Alcoholic cardiomyopathy,1,1
Low SDI,Alcohol,Atrial fibrillation and flutter,0.4,0.058
Low SDI,Alcohol,Cirrhosis and other chronic liver diseases due to alcohol use,27,1
Low SDI,Alcohol,Pancreatitis,1.9,0.274
Low SDI,Alcohol,Epilepsy,2.4,0.138
Low SDI,Alcohol,Alcohol use disorders,7.5,1
Low SDI,Alcohol,Diabetes mellitus,-0.7,-0.006
Low SDI,Alcohol,Pedestrian road injuries,4,0.077
Low SDI,Alcohol,Cyclist road injuries,0.4,0.099
Low SDI,Alcohol,Motorcyclist road injuries,1.1,0.086
Low SDI,Alcohol,Motor vehicle road injuries,4.7,0.075
Low SDI,Alcohol,Other road injuries,0.1,0.079
Low SDI,Alcohol,Other transport injuries,0.6,0.086
Low SDI,Alcohol,Drowning,1.2,0.028
Low SDI,Alcohol,"Fire, heat, and hot substances",0.9,0.033
Low SDI,Alcohol,Poisonings,0.4,0.032
Low SDI,Alcohol,Unintentional firearm injuries,0.2,0.044
Low SDI,Alcohol,Other unintentional injuries,0.4,0.038
Low SDI,Alcohol,Self-harm by firearm,0.7,0.142
Low SDI,Alcohol,Self-harm by other specified means,6.2,0.14
Low SDI,Alcohol,Assault by firearm,1.1,0.083
Low SDI,Alcohol,Assault by sharp object,0.6,0.084
Low SDI,Alcohol,Assault by other means,2.1,0.095
